<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180823,100000,106458.442021
RIZ8 [SPBFUT],5,20180823,100500,106449.600582
RIZ8 [SPBFUT],5,20180823,101000,106441.066190
RIZ8 [SPBFUT],5,20180823,101500,106431.571596
RIZ8 [SPBFUT],5,20180823,102000,106424.997907
RIZ8 [SPBFUT],5,20180823,102500,106418.555236
RIZ8 [SPBFUT],5,20180823,103000,106411.372981
RIZ8 [SPBFUT],5,20180823,103500,106403.456989
RIZ8 [SPBFUT],5,20180823,104000,106396.868397
RIZ8 [SPBFUT],5,20180823,104500,106391.991967
RIZ8 [SPBFUT],5,20180823,105000,106389.525627
RIZ8 [SPBFUT],5,20180823,105500,106385.339654
RIZ8 [SPBFUT],5,20180823,110000,106379.921949
RIZ8 [SPBFUT],5,20180823,110500,106373.203198
RIZ8 [SPBFUT],5,20180823,111000,106365.035584
RIZ8 [SPBFUT],5,20180823,111500,106357.327793
RIZ8 [SPBFUT],5,20180823,112000,106350.076190
RIZ8 [SPBFUT],5,20180823,112500,106341.221832
RIZ8 [SPBFUT],5,20180823,113000,106332.911778
RIZ8 [SPBFUT],5,20180823,113500,106322.374926
RIZ8 [SPBFUT],5,20180823,114000,106313.028089
RIZ8 [SPBFUT],5,20180823,114500,106302.964626
RIZ8 [SPBFUT],5,20180823,115000,106293.534076
RIZ8 [SPBFUT],5,20180823,115500,106285.917205
RIZ8 [SPBFUT],5,20180823,120000,106278.044342
RIZ8 [SPBFUT],5,20180823,120500,106269.996561
RIZ8 [SPBFUT],5,20180823,121000,106261.379987
RIZ8 [SPBFUT],5,20180823,121500,106252.673426
RIZ8 [SPBFUT],5,20180823,122000,106241.743201
RIZ8 [SPBFUT],5,20180823,122500,106232.164204
RIZ8 [SPBFUT],5,20180823,123000,106223.609546
RIZ8 [SPBFUT],5,20180823,123500,106214.015795
RIZ8 [SPBFUT],5,20180823,124000,106204.023575
RIZ8 [SPBFUT],5,20180823,124500,106193.003626
