<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],5,20180821,161000,106410.000000,106430.000000,106290.000000,106310.000000,1908.000000
RIZ8 [SPBFUT],5,20180821,161500,106300.000000,106370.000000,106280.000000,106370.000000,1083.000000
RIZ8 [SPBFUT],5,20180821,162000,106380.000000,106470.000000,106360.000000,106430.000000,1380.000000
RIZ8 [SPBFUT],5,20180821,162500,106430.000000,106490.000000,106380.000000,106460.000000,1464.000000
RIZ8 [SPBFUT],5,20180821,163000,106460.000000,106680.000000,106460.000000,106660.000000,5594.000000
RIZ8 [SPBFUT],5,20180821,163500,106660.000000,106840.000000,106640.000000,106760.000000,5154.000000
RIZ8 [SPBFUT],5,20180821,164000,106760.000000,106930.000000,106760.000000,106900.000000,3873.000000
RIZ8 [SPBFUT],5,20180821,164500,106890.000000,106950.000000,106630.000000,106770.000000,5116.000000
RIZ8 [SPBFUT],5,20180821,165000,106760.000000,106850.000000,106700.000000,106720.000000,3566.000000
RIZ8 [SPBFUT],5,20180821,165500,106730.000000,106740.000000,106630.000000,106740.000000,2729.000000
RIZ8 [SPBFUT],5,20180821,170000,106740.000000,106750.000000,106570.000000,106600.000000,3333.000000
RIZ8 [SPBFUT],5,20180821,170500,106620.000000,106670.000000,106580.000000,106650.000000,1455.000000
RIZ8 [SPBFUT],5,20180821,171000,106650.000000,106770.000000,106590.000000,106740.000000,2153.000000
RIZ8 [SPBFUT],5,20180821,171500,106760.000000,106890.000000,106740.000000,106890.000000,3130.000000
RIZ8 [SPBFUT],5,20180821,172000,106870.000000,107070.000000,106830.000000,107050.000000,3847.000000
RIZ8 [SPBFUT],5,20180821,172500,107050.000000,107100.000000,106940.000000,107030.000000,4081.000000
RIZ8 [SPBFUT],5,20180821,173000,107030.000000,107150.000000,106980.000000,107100.000000,3094.000000
RIZ8 [SPBFUT],5,20180821,173500,107100.000000,107140.000000,106810.000000,106950.000000,4585.000000
RIZ8 [SPBFUT],5,20180821,174000,106950.000000,107010.000000,106790.000000,106860.000000,3297.000000
RIZ8 [SPBFUT],5,20180821,174500,106850.000000,106890.000000,106680.000000,106760.000000,3098.000000
RIZ8 [SPBFUT],5,20180821,175000,106750.000000,106840.000000,106640.000000,106840.000000,2442.000000
RIZ8 [SPBFUT],5,20180821,175500,106840.000000,106950.000000,106830.000000,106930.000000,1696.000000
RIZ8 [SPBFUT],5,20180821,180000,106930.000000,107040.000000,106830.000000,106870.000000,2997.000000
RIZ8 [SPBFUT],5,20180821,180500,106870.000000,106920.000000,106710.000000,106790.000000,2083.000000
RIZ8 [SPBFUT],5,20180821,181000,106790.000000,106920.000000,106780.000000,106850.000000,1264.000000
RIZ8 [SPBFUT],5,20180821,181500,106860.000000,106890.000000,106810.000000,106830.000000,1163.000000
RIZ8 [SPBFUT],5,20180821,182000,106840.000000,106890.000000,106770.000000,106880.000000,928.000000
RIZ8 [SPBFUT],5,20180821,182500,106870.000000,107000.000000,106870.000000,106920.000000,1835.000000
RIZ8 [SPBFUT],5,20180821,183000,106940.000000,107240.000000,106930.000000,107190.000000,6771.000000
RIZ8 [SPBFUT],5,20180821,183500,107190.000000,107330.000000,107180.000000,107260.000000,3818.000000
RIZ8 [SPBFUT],5,20180821,184000,107280.000000,107470.000000,107230.000000,107400.000000,3774.000000
RIZ8 [SPBFUT],5,20180821,190000,107480.000000,107830.000000,107320.000000,107770.000000,7138.000000
RIZ8 [SPBFUT],5,20180821,190500,107780.000000,107950.000000,107770.000000,107780.000000,4376.000000
RIZ8 [SPBFUT],5,20180821,191000,107780.000000,107830.000000,107620.000000,107630.000000,2843.000000
RIZ8 [SPBFUT],5,20180821,191500,107640.000000,107700.000000,107620.000000,107700.000000,1432.000000
RIZ8 [SPBFUT],5,20180821,192000,107700.000000,107710.000000,107620.000000,107630.000000,752.000000
RIZ8 [SPBFUT],5,20180821,192500,107630.000000,107710.000000,107630.000000,107690.000000,1029.000000
RIZ8 [SPBFUT],5,20180821,193000,107680.000000,107700.000000,107590.000000,107680.000000,1494.000000
RIZ8 [SPBFUT],5,20180821,193500,107680.000000,107750.000000,107560.000000,107600.000000,1374.000000
RIZ8 [SPBFUT],5,20180821,194000,107600.000000,107600.000000,107530.000000,107550.000000,710.000000
RIZ8 [SPBFUT],5,20180821,194500,107540.000000,107580.000000,107530.000000,107570.000000,646.000000
RIZ8 [SPBFUT],5,20180821,195000,107570.000000,107700.000000,107530.000000,107630.000000,941.000000
RIZ8 [SPBFUT],5,20180821,195500,107630.000000,107810.000000,107610.000000,107780.000000,1723.000000
RIZ8 [SPBFUT],5,20180821,200000,107780.000000,107940.000000,107760.000000,107860.000000,1759.000000
RIZ8 [SPBFUT],5,20180821,200500,107860.000000,107880.000000,107730.000000,107790.000000,1531.000000
RIZ8 [SPBFUT],5,20180821,201000,107800.000000,107830.000000,107740.000000,107790.000000,963.000000
RIZ8 [SPBFUT],5,20180821,201500,107800.000000,107830.000000,107760.000000,107760.000000,372.000000
RIZ8 [SPBFUT],5,20180821,202000,107760.000000,107900.000000,107740.000000,107860.000000,725.000000
RIZ8 [SPBFUT],5,20180821,202500,107860.000000,107900.000000,107790.000000,107850.000000,671.000000
RIZ8 [SPBFUT],5,20180821,203000,107860.000000,107890.000000,107800.000000,107810.000000,486.000000
RIZ8 [SPBFUT],5,20180821,203500,107800.000000,107860.000000,107730.000000,107840.000000,1240.000000
RIZ8 [SPBFUT],5,20180821,204000,107860.000000,108180.000000,107850.000000,108120.000000,5242.000000
RIZ8 [SPBFUT],5,20180821,204500,108120.000000,108160.000000,108030.000000,108090.000000,958.000000
RIZ8 [SPBFUT],5,20180821,205000,108100.000000,108100.000000,107980.000000,108020.000000,1190.000000
RIZ8 [SPBFUT],5,20180821,205500,108020.000000,108080.000000,107980.000000,108050.000000,631.000000
RIZ8 [SPBFUT],5,20180821,210000,108060.000000,108070.000000,107940.000000,107970.000000,773.000000
RIZ8 [SPBFUT],5,20180821,210500,107970.000000,108030.000000,107950.000000,108000.000000,558.000000
RIZ8 [SPBFUT],5,20180821,211000,108010.000000,108060.000000,107930.000000,108030.000000,606.000000
RIZ8 [SPBFUT],5,20180821,211500,108030.000000,108090.000000,108000.000000,108070.000000,451.000000
RIZ8 [SPBFUT],5,20180821,212000,108070.000000,108090.000000,107970.000000,107970.000000,598.000000
RIZ8 [SPBFUT],5,20180821,212500,107990.000000,108000.000000,107900.000000,107900.000000,748.000000
RIZ8 [SPBFUT],5,20180821,213000,107910.000000,107930.000000,107750.000000,107810.000000,2176.000000
RIZ8 [SPBFUT],5,20180821,213500,107810.000000,107810.000000,107740.000000,107790.000000,346.000000
RIZ8 [SPBFUT],5,20180821,214000,107780.000000,107930.000000,107780.000000,107850.000000,819.000000
RIZ8 [SPBFUT],5,20180821,214500,107840.000000,107850.000000,107710.000000,107730.000000,808.000000
